iter	Logloss
0	0.6879049014
1	0.682808249
2	0.6781990808
3	0.6735072451
4	0.6691615653
5	0.6650640902
6	0.6604975435
7	0.6556367067
8	0.651128749
9	0.6464967109
10	0.6416860006
11	0.6375318543
12	0.6334560009
13	0.6290149301
14	0.6247480709
15	0.6199979624
16	0.6154080778
17	0.6109901636
18	0.6068636972
19	0.6026957206
20	0.5987548243
21	0.5947609833
22	0.5907640687
23	0.5869428401
24	0.5832232782
25	0.5794431705
26	0.576182989
27	0.5727205581
28	0.5694403157
29	0.5661676341
30	0.563174449
31	0.5600777969
32	0.5572375993
33	0.5543905158
34	0.5515355525
35	0.5489213995
36	0.54638511
37	0.5437048568
38	0.5410650259
39	0.5386835858
40	0.5363171505
41	0.5340990574
42	0.5319822948
43	0.5296797094
44	0.5276229924
45	0.5254435661
46	0.5234201153
47	0.5213718957
48	0.51931081
49	0.5173662391
50	0.5155814596
51	0.5136769067
52	0.5118189067
53	0.5100209574
54	0.5082974259
55	0.506565291
56	0.5049160891
57	0.5034743483
58	0.5020294158
59	0.5006457695
60	0.4991224334
61	0.4976825633
62	0.4963797671
63	0.4949729026
64	0.4936791946
65	0.49235446
66	0.4910725914
67	0.4900808186
68	0.4890401943
69	0.4878044429
70	0.4866333018
71	0.4855104891
72	0.4845139021
73	0.4833219071
74	0.4821307054
75	0.4809371509
76	0.4798799465
77	0.4788061096
78	0.4778166773
79	0.4769505032
80	0.4760521891
81	0.4751043644
82	0.4742390652
83	0.4734756536
84	0.4725770635
85	0.4716867521
86	0.4708325741
87	0.4699474515
88	0.4691313683
89	0.4683012964
90	0.4674935853
91	0.4668124432
92	0.4660094665
93	0.4652295206
94	0.4644445815
95	0.4637592815
96	0.4630383632
97	0.4623167009
98	0.4616343613
99	0.4609203143
100	0.4602640972
101	0.4594903334
102	0.4587935495
103	0.4581596682
104	0.4574617583
105	0.4569447571
106	0.4563494571
107	0.4557195035
108	0.4551201389
109	0.4545800132
110	0.454005791
111	0.453430406
112	0.4528764412
113	0.4523139345
114	0.4518218638
115	0.4513161918
116	0.4507817058
117	0.4502309892
118	0.4497381921
119	0.449232666
120	0.4487547075
121	0.4482493778
122	0.447771908
123	0.4473470813
124	0.4468815213
125	0.4464404912
126	0.4459925407
127	0.4456315246
128	0.4452049629
129	0.4448193248
130	0.4444227786
131	0.4440522021
132	0.4436313713
133	0.4432134819
134	0.4428769574
135	0.4424927466
136	0.4421338333
137	0.4417650163
138	0.4413994801
139	0.4410917182
140	0.4407160471
141	0.4403806609
142	0.4400591471
143	0.4398110113
144	0.4395223886
145	0.4391683252
146	0.4388772073
147	0.4385954271
148	0.4382635319
149	0.4379630148
150	0.4376483238
151	0.4373653126
152	0.4371033911
153	0.4367922271
154	0.4365045941
155	0.4362306068
156	0.4359487223
157	0.4357242203
158	0.4355067397
159	0.4352276566
160	0.4349843095
161	0.4347330938
162	0.4344710784
163	0.434239038
164	0.434049133
165	0.4338318049
166	0.4335359118
167	0.4333129899
168	0.4331437672
169	0.432928372
170	0.4327520395
171	0.4325303478
172	0.43230572
173	0.4319977904
174	0.43184429
175	0.4316175702
176	0.4313606952
177	0.4310847262
178	0.430884873
179	0.4307120451
180	0.4305430732
181	0.4303698164
182	0.4301820417
183	0.4300364417
184	0.429908313
185	0.4298044225
186	0.4296613856
187	0.4294909619
188	0.4293280748
189	0.4291710997
190	0.4290235883
191	0.4288162163
192	0.4286409654
193	0.428481827
194	0.4283085362
195	0.4281815453
196	0.427962875
197	0.4277923021
198	0.4276530897
199	0.4274327251
200	0.4272816897
201	0.4271182946
202	0.4270081176
203	0.4268575475
204	0.4266902284
205	0.4265079656
206	0.4263709817
207	0.426247286
208	0.4261106663
209	0.4259245222
210	0.4257870523
211	0.425659807
212	0.4254396886
213	0.4252960134
214	0.4251778513
215	0.425028238
216	0.4249305316
217	0.4247515275
218	0.4246656219
219	0.4244910998
220	0.4243962675
221	0.4242483535
222	0.4241415937
223	0.4239883585
224	0.4238462109
225	0.4237289006
226	0.4236000587
227	0.4234882957
228	0.4234007351
229	0.4232841562
230	0.4231859701
231	0.4231206791
232	0.4229419286
233	0.4228553927
234	0.4226825001
235	0.4226106833
236	0.4224878485
237	0.4223620209
238	0.4222902786
239	0.4221319366
240	0.4220264726
241	0.4218473364
242	0.4217731897
243	0.4216868144
244	0.4215496936
245	0.4214354868
246	0.4213521053
247	0.4212437812
248	0.4211163168
249	0.4210096262
250	0.4209450919
251	0.4208148934
252	0.4207156458
253	0.4206124982
254	0.4205314871
255	0.420465094
256	0.4203886988
257	0.4202801911
258	0.4202062864
259	0.4200422299
260	0.4199509874
261	0.4198766758
262	0.4197839176
263	0.4196757628
264	0.4195956222
265	0.4195050166
266	0.4194117012
267	0.4193362384
268	0.419215295
269	0.4191174186
270	0.4190940668
271	0.4189924757
272	0.4189673605
273	0.4189141465
274	0.4188309584
275	0.4187269645
276	0.4186595673
277	0.4185506744
278	0.4184948634
279	0.4184477505
280	0.4183835983
281	0.4183228614
282	0.4182824472
283	0.4182492293
284	0.4181894767
285	0.4181032386
286	0.4179976189
287	0.4179397623
288	0.4178220385
289	0.4177014496
290	0.417636302
291	0.4175217779
292	0.4174157277
293	0.4173524968
294	0.4172769384
295	0.4172071681
296	0.4171395146
297	0.4170680911
298	0.4170063824
299	0.4169748829
300	0.416869386
301	0.4168033893
302	0.416693081
303	0.4166201854
304	0.4165792435
305	0.4164857573
306	0.416441682
307	0.4163618609
308	0.4163087044
309	0.4162506691
310	0.4161558318
311	0.4160563237
312	0.4160348014
313	0.4159372387
314	0.4159155475
315	0.4158344972
316	0.4157892762
317	0.4157593585
318	0.4157251233
319	0.415673485
320	0.4156074823
321	0.4155266263
322	0.4154799355
323	0.4153958079
324	0.4153424275
325	0.4152735332
326	0.4152287772
327	0.4151457401
328	0.4150741698
329	0.4150018019
330	0.4149357657
331	0.4148792389
332	0.4148586962
333	0.4147813438
334	0.4147311275
335	0.4146491058
336	0.414618082
337	0.414556981
338	0.4144810843
339	0.4144074698
340	0.4143604806
341	0.4142800992
342	0.4142338335
343	0.4141843483
344	0.4141420475
345	0.4141119603
346	0.4140697372
347	0.4139985328
348	0.4139725455
349	0.4139022268
350	0.4138496991
351	0.4138156721
352	0.4137429943
353	0.4136801048
354	0.4136528419
355	0.4135905726
356	0.4135197721
357	0.4134447604
358	0.4134146828
359	0.413339915
360	0.4132921054
361	0.4132343888
362	0.4131454957
363	0.4131087055
364	0.413030661
365	0.4129924974
366	0.4129871179
367	0.4129692516
368	0.4129125073
369	0.4128512078
370	0.4128200192
371	0.4127762437
372	0.4127463713
373	0.4127074471
374	0.412641861
375	0.4126025481
376	0.4125483913
377	0.4125048721
378	0.4124690569
379	0.4124328061
380	0.412386085
381	0.412331425
382	0.4123165158
383	0.412258808
384	0.4122106821
385	0.4121761371
386	0.4121319295
387	0.4120921719
388	0.412044011
389	0.4119902326
390	0.4119498623
391	0.4118989191
392	0.4118541349
393	0.4118102457
394	0.4117657014
395	0.4117121082
396	0.4116777871
397	0.4116269098
398	0.4115976984
399	0.4115758309
400	0.4115679149
401	0.4115240687
402	0.4114870943
403	0.4114386981
404	0.4113939594
405	0.4113372749
406	0.4112818293
407	0.4112734002
408	0.4112444273
409	0.411181617
410	0.4111702586
411	0.4111356457
412	0.4111122742
413	0.4110917259
414	0.4110379891
415	0.4109965938
416	0.4109403764
417	0.410906021
418	0.4108768755
419	0.4108626734
420	0.4108432879
421	0.4108072081
422	0.4107885732
423	0.4107735882
424	0.4107287531
425	0.4106884324
426	0.4106563526
427	0.4106253808
428	0.4106010327
429	0.4105594957
430	0.4105366471
431	0.4105203833
432	0.4105094703
433	0.4104515082
434	0.4104257838
435	0.4103869234
436	0.4103349943
437	0.4103277058
438	0.4102996799
439	0.4102988438
440	0.4102737477
441	0.4102455984
442	0.4102217848
443	0.410184213
444	0.4101244702
445	0.4100835873
446	0.4100602373
447	0.4100427554
448	0.410018292
449	0.4099964761
450	0.4099755297
451	0.4099481113
452	0.4099318085
453	0.4098749818
454	0.4098553819
455	0.4098316751
456	0.4098091291
457	0.4097577858
458	0.4097457553
459	0.4097332627
460	0.409705053
461	0.4096820322
462	0.4096693873
463	0.4096321045
464	0.4095843801
465	0.4095455087
466	0.4095017247
467	0.4094930088
468	0.409472701
469	0.4094601011
470	0.4094046798
471	0.4093495033
472	0.4093383753
473	0.4093291924
474	0.4092975603
475	0.4092621127
476	0.4092446123
477	0.4092213829
478	0.4092040158
479	0.4091518948
480	0.4091249847
481	0.4090851504
482	0.4090620405
483	0.409020957
484	0.4089935193
485	0.4089459407
486	0.4089277649
487	0.408900647
488	0.4088758534
489	0.4088690385
490	0.4088469239
491	0.4088208734
492	0.4087695025
493	0.4087508179
494	0.408736209
495	0.4086994222
496	0.4086624955
497	0.4086349579
498	0.408619124
499	0.4086012314
500	0.4085871702
501	0.4085325951
502	0.4084724294
503	0.4084280095
504	0.4084118981
505	0.4084024581
506	0.4083908177
507	0.4083560339
508	0.4083449781
509	0.4083267368
510	0.4083043437
511	0.408260953
512	0.4082178129
513	0.4081770321
514	0.4081387973
