iter	Passed	Remaining
0	154	309349
1	166	166739
2	182	121488
3	194	96952
4	208	83117
5	223	74176
6	236	67397
7	251	62536
8	265	58697
9	281	56101
10	295	53408
11	309	51342
12	324	49644
13	339	48157
14	354	46859
15	368	45640
16	381	44545
17	394	43471
18	408	42545
19	421	41777
20	435	41056
21	448	40335
22	462	39777
23	476	39222
24	490	38721
25	503	38242
26	516	37768
27	530	37393
28	545	37048
29	558	36690
30	572	36348
31	585	35998
32	599	35725
33	613	35454
34	626	35177
35	639	34911
36	652	34632
37	667	34439
38	679	34189
39	693	34003
40	706	33758
41	719	33550
42	734	33406
43	746	33203
44	761	33062
45	774	32889
46	786	32696
47	801	32579
48	815	32468
49	828	32330
50	842	32212
51	860	32223
52	875	32150
53	895	32259
54	913	32316
55	928	32216
56	941	32103
57	956	32022
58	971	31950
59	985	31861
60	1000	31787
61	1015	31736
62	1032	31746
63	1051	31809
64	1066	31763
65	1082	31708
66	1097	31657
67	1112	31607
68	1131	31653
69	1146	31602
70	1161	31552
71	1176	31512
72	1190	31425
73	1204	31354
74	1222	31384
75	1238	31353
76	1252	31271
77	1266	31217
78	1281	31160
79	1297	31132
80	1313	31107
81	1327	31048
82	1343	31021
83	1357	30956
84	1372	30912
85	1385	30845
86	1400	30795
87	1416	30780
88	1430	30715
89	1445	30670
90	1458	30605
91	1474	30583
92	1487	30510
93	1503	30475
94	1517	30422
95	1531	30371
96	1545	30330
97	1563	30337
98	1578	30317
99	1593	30283
100	1609	30263
101	1624	30220
102	1638	30185
103	1652	30123
104	1666	30071
105	1681	30037
106	1696	30014
107	1713	30013
108	1727	29977
109	1742	29934
110	1757	29906
111	1771	29862
112	1785	29810
113	1799	29773
114	1814	29739
115	1828	29698
116	1842	29652
117	1856	29609
118	1871	29575
119	1887	29564
120	1903	29556
121	1919	29541
122	1933	29507
123	1947	29469
124	1961	29424
125	1976	29389
126	1990	29362
127	2005	29327
128	2019	29286
129	2032	29230
130	2045	29190
